Generation,GlobalBest,I0Best,I1Best,I2Best,I3Best,GlobalMean,GlobalStdDev
0,1.72882,1.72882,1.68089,1.67727,1.28753,0.186966,0.67011
1,1.87603,1.80875,1.68089,1.67727,1.87603,0.712468,0.627421
2,1.92196,1.80875,1.68089,1.92196,1.87603,0.926558,0.66171
3,1.92196,1.9149,1.68089,1.92196,1.91593,1.10651,0.63081
4,2.07243,2.07243,1.68089,1.92196,2.03293,1.15732,0.745122
5,2.1142,2.1142,1.78115,1.94671,2.0525,1.43732,0.628388
6,2.1365,2.1365,1.86038,1.9502,2.0525,1.3829,0.727039
7,2.1365,2.1365,1.8933,1.98356,2.06162,1.38766,0.722252
8,2.1365,2.1365,1.9534,2.04816,2.06162,1.54027,0.656475
9,2.1365,2.1365,1.96028,2.04816,2.06162,1.51499,0.684557
10,2.1365,2.1365,1.96981,2.04816,2.06162,1.45747,0.75491
11,2.1365,2.1365,1.96981,2.08569,2.06162,1.57482,0.650539
12,2.13815,2.13815,1.99765,2.10249,2.08385,1.62853,0.60358
13,2.13815,2.13815,2.05962,2.10249,2.08385,1.6771,0.596204
14,2.13815,2.13815,2.08044,2.10249,2.10478,1.65015,0.59639
15,2.13815,2.13815,2.11573,2.10249,2.10478,1.80013,0.469324
16,2.169,2.13857,2.169,2.15892,2.1499,1.80751,0.504232
17,2.169,2.13857,2.169,2.15892,2.1499,1.7902,0.560222
18,2.20805,2.16209,2.20805,2.15892,2.1667,1.89365,0.456543
19,2.20805,2.1746,2.20805,2.15892,2.1667,1.81798,0.550981
